name,profile_url,emails,org_number,revenue,legal_name,registration_date,company_type,employees,ceo,address,postal_address,city,share_capital,sni_codes,business_purpose,phone,website
Adven Sverige AB,https://www.allabolag.se/foretag/adven-sverige-ab/%C3%B6rebro/-/5567029516,[],556702-9516,1729795,Adven Sverige AB,2006-04-28,Aktiebolag,243,Nils Henrik Johansson Casimiro,"Radiatorvägen 17, 702 27 Örebro","Radiatorvägen 17, 702 27 Örebro",Örebro,100Tkr,['35300 Försörjning av värme och kyla'],"Bolaget har till föremål för sin verksamhet att, uppföra, äga och driva produktionsanläggningar och distributionsanläggningar och distributionssystem samt äga, förvalta och utveckla anläggningar och system för produktion och försäljning av värme, kyla och gas samt att bedriva därmed förenlig verksamhet.",020-075 16 50,
Cambrex Karlskoga Aktiebolag,https://www.allabolag.se/foretag/cambrex-karlskoga-aktiebolag/karlskoga/-/5560136235,[],556013-6235,1726163,Cambrex Karlskoga Aktiebolag,1916-09-08,Aktiebolag,480,Nils Petter Lybeck,"Björkborns Industriområde, 691 33 Karlskoga","Cambrex Karlskoga Ab, 691 85 Karlskoga",Karlskoga,1 050Tkr,"['20140 Tillverkning av andra organiska baskemikalier', '21100 Tillverkning av farmaceutiska basprodukter', '20160 Basplastframställning']","Bolaget skall äga och förvalta fast och lös egendom, att utveckla, tillverka och försälja kemiska produkter och anläggningar för sådan tillverkning samt läkemedel ävensom därmed förenlig verksamhet.",0586-78 30 00,
Kopparbergs Bryggeri Aktiebolag,https://www.allabolag.se/foretag/kopparbergs-bryggeri-aktiebolag/kopparberg/-/5564798493,[],556479-8493,1665642,Kopparbergs Bryggeri Aktiebolag,1993-12-27,Publikt aktiebolag,199,Peter Gunnar Bronsman,"Klotenvägen 1, 714 35 Kopparberg","Klotenvägen 1, 714 82 Kopparberg",Kopparberg,5 152Tkr,"['11030 Framställning av cider och andra jästa drycker av frukt', '11050 Framställning av öl', '11070 Framställning av läskedrycker, mineralvatten och annat vatten på flaska', '11010 Destillering, rening och tillblandning av spritdrycker', '52100 Magasinering och varulagring']","Bolaget skall bedriva tillverkning av och handel med sprit, vin, cider, öl, andra maltdrycker och kolsyrade drycker, äga och förvalta fastigheter samt samt därmed förenlig verksamhet.",0580-886 00,
Tommy Allström Byggproduktion AB,https://www.allabolag.se/foretag/tommy-allstr%C3%B6m-byggproduktion-ab/lindesberg/-/5565548426,"['tab@tabyggproduktion.se', 'tab@tabyggproduktion.se']",556554-8426,1664389,Tommy Allström Byggproduktion AB,1998-04-16,Aktiebolag,59,,"Stafettg. 31, 711 34 LINDESBERG","Stafettgatan 31, 71134 LINDESBERG",LINDESBERG,100Tkr,['41000 Byggande av bostadshus och andra byggnader'],"Föremålet för bolagets verksamhet är byggnadsverksamhet, uthyrning av byggmaskiner och verktyg, handel med och förvaltning av värdepapper och fastigheter, handel med och uppfödning av travhästar och därmed förenlig verksamhet.",0581-419 91,http://www.tabyggproduktion.se
LäroMedia Bokhandel Örebro Aktiebolag,https://www.allabolag.se/foretag/l%C3%A4romedia-bokhandel-%C3%B6rebro-aktiebolag/%C3%B6rebro/-/5564162757,[],556416-2757,1598122,LäroMedia Bokhandel Örebro Aktiebolag,1991-01-16,Aktiebolag,54,Per Håkan Åkesson,"Ormestagatan 2, 702 83 Örebro","Box 6073, 700 06 Örebro",Örebro,100Tkr,"['46499 Partihandel med övriga hushållsvaror', '47611 Detaljhandel med böcker, utom via internet eller postorder']","Bolaget skall driva bokhandel, sälja utbildningsmaterial och annan utrustning till studerande, skolor, institutioner och företag, bedriva utbildning och konsultverksamhet i bokhandlar- branschen, förvalta fast egendom, bedriva bokdistribution samt bedriva handel med värdepapper och därmed förenlig verksamhet.",019-20 69 00,
EURENCO Bofors Aktiebolag,https://www.allabolag.se/foretag/eurenco-bofors-aktiebolag/karlskoga/-/5562679372,[],556267-9372,1301003,EURENCO Bofors Aktiebolag,1985-11-18,Aktiebolag,386,Jan Olof Pettersson,"Björkbornsv., 691 33 Karlskoga",691 86 Karlskoga,Karlskoga,25 000Tkr,"['20591 Sprängämnestillverkning', '21100 Tillverkning av farmaceutiska basprodukter', '20140 Tillverkning av andra organiska baskemikalier']","Bolaget skall äga och förvalta fast och lös egendom, tillverka och försälja krut, sprängämnen samt anläggningar för sådan tillverkning ävensom bedriva annan i samband därmed förenlig verksamhet.",0586-830 50,http://www.eurenco.com
NG Nordic Sweden AB,https://www.allabolag.se/foretag/ng-nordic-sweden-ab/kumla/-/5561299537,[],556129-9537,1289699,NG Nordic Sweden AB,1969-10-27,Aktiebolag,188,Eva Jessica Cedervall,"Norrtorp 112, 692 92 Kumla","Norrtorp 112, 692 92 Kumla",Kumla,28 000Tkr,"['38220 Energiåtervinning', '38120 Insamling av farligt avfall', '35120 Generering av elektricitet från förnybara energikällor', '46872 Partihandel med metallavfall och metallskrot', '38214 Återvinning av källsorterat material']","Föremålet för Bolagets verksamhet är att behandla, destruera och'/eller långtidsförvara avfall samt driva annan därmed förenlig verksamhet och konsult- och entreprenadverksamhet i huvudsaklig anslutning till nyssnämnda verksamheter, att driva annan därmed förenlig verksamhet samt äga och förvalta fast och lös egendom.",019-30 51 00,
ScandFibre Logistics Aktiebolag,https://www.allabolag.se/foretag/scandfibre-logistics-aktiebolag/%C3%B6rebro/-/5562531474,"['info@scandfibre.se', 'info@scandfibre.se']",556253-1474,1212027,ScandFibre Logistics Aktiebolag,1984-11-25,Aktiebolag,24,Mats Bertil Erkén,"Aspholmsvägen 12A, 70227 Örebro","Aspholmsvägen 12, 702 27 Örebro",Örebro,1 000Tkr,['52250 Logistikverksamhet'],Föremålet för bolagets verksamhet skall vara att tillhandahålla och utveckla transport- och logistiktjänster och därmed förenlig verksamhet.,019-20 80 80,https://www.scandfibre.se/
Tage Rejmes i Örebro Bilaktiebolag,https://www.allabolag.se/foretag/tage-rejmes-i-%C3%B6rebro-bilaktiebolag/%C3%B6rebro/-/5560961228,[],556096-1228,1189828,Tage Rejmes i Örebro Bilaktiebolag,1965-01-13,Aktiebolag,159,Jan Peter Andersson,"Bettorpsgatan 4-6, 703 69 Örebro","Box 2042, 700 02 Örebro",Örebro,3 000Tkr,"['47811 Detaljhandel med personbilar och lätta motorfordon', '47820 Detaljhandel med reservdelar och tillbehör till motorfordon', '95311 Allmän service och reparation av motorfordon utom motorcyklar']","Bolagets verksamhet ska avse handel med och uthyrning av motorfordon - motorredskap, tillbehör och reservdelar därtill, service-, drivmedels-, verkstads-, och garagerörelse samt annan därmed förenlig verksamhet.",019-30 17 00,
Eitech Electro AB,https://www.allabolag.se/foretag/eitech-electro-ab/%C3%B6rebro/-/5564690732,[],556469-0732,1148443,Eitech Electro AB,1993-06-24,Aktiebolag,346,Martin Fritz Ingmar Dahlström,"Elementvägen 10, 702 27 Örebro","Elementvägen 10, 702 27 Örebro",Örebro,34 531Tkr,"['43210 Elinstallationer', '71123 Teknisk konsultverksamhet inom elteknik', '80090 Övrig säkerhetsverksamhet']","Bolaget ska bedriva elinstallationsarbeten och konsultverksamhet inom elbranchen, driva handel med lös egendom såsom företrädesvis aktier, äga och förvalta fast egendom samt idka därmed förenlig verksamhet.",019-20 62 69,
Textilia Tvätt & Textilservice AB,https://www.allabolag.se/foretag/textilia-tv%C3%A4tt-textilservice-ab/%C3%B6rebro/-/5565385043,[],556538-5043,1114829,Textilia Tvätt & Textilservice AB,1997-01-21,Aktiebolag,934,Anders Eikemo Thorgaard,"Idrottsvägen 35, 702 32 Örebro","Box 1544, 701 15 Örebro",Örebro,10 100Tkr,['96101 Industri- och institutionstvätt'],"Bolaget ska tillhandahålla och försälja textilier och tvätteri- tjänster inom sektorerna sjukvård, omsorg, hotell och industri samt bedriva aktieförvaltning och därmed förenlig verksamhet.",,
